day	hour	min	second	price	volume
4	9	32	13	39.98	100
4	9	32	17	40	400
4	9	32	17	40.07	100
4	9	32	17	40.0425	100
4	9	32	17	40	600
4	9	32	17	40.07	300
4	9	32	17	40.07	100
4	9	32	19	39.97	300
4	9	32	21	40.015	200
4	9	32	22	40	100
4	9	32	22	40	100
4	9	32	22	40	100
4	9	32	22	40	100
4	9	32	22	40	100
4	9	32	25	40.015	700
4	9	32	28	40.07	100
4	9	32	28	40.1	100
4	9	32	28	40.1	200
4	9	32	29	40.06	100
4	9	32	31	40.02	100
4	9	32	35	40.02	100
4	9	32	35	40.02	100
4	9	32	35	40.02	100
4	9	32	35	40.02	100
4	9	32	39	40.02	100
4	9	32	40	40.03	100
4	9	32	40	40.03	100
4	9	32	40	40.14	200
4	9	32	41	40.14	400
4	9	32	43	40.04	100
4	9	32	47	40.07	100
4	9	32	47	40.07	100
4	9	32	47	40.06	100
4	9	32	57	40.1	100
4	9	32	57	40.11	100
4	9	33	2	40.14	100
4	9	33	2	40.14	100
4	9	33	2	40.13	300
4	9	33	3	40.15	199
4	9	33	5	40.14	100
4	9	33	5	40.15	600
4	9	33	5	40.15	200
4	9	33	5	40.15	500
4	9	33	7	40.09	100
4	9	33	9	40.17	500
4	9	33	9	40.15	100
4	9	33	9	40.17	100
4	9	33	9	40.19	600
4	9	33	9	40.147	100
4	9	33	10	40.19	200
4	9	33	10	40.19	100
4	9	33	10	40.19	100
4	9	33	10	40.16	100
4	9	33	14	40.2	1100
4	9	33	14	40.16	300
4	9	33	15	40.16	100
4	9	33	16	40.25	100
4	9	33	16	40.17	200
4	9	33	16	40.17	400
4	9	33	20	40.2	100
4	9	33	21	40.16	100
4	9	33	21	40.2	200
4	9	33	21	40.16	100
4	9	33	25	40.2	200
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.21	500
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.22	100
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.21	100
4	9	33	25	40.21	200
4	9	33	25	40.21	100
4	9	33	25	40.23	900
4	9	33	25	40.21	100
4	9	33	26	40.21	500
4	9	33	26	40.21	100
4	9	33	26	40.21	100
4	9	33	30	40.23	100
4	9	33	30	40.23	200
4	9	33	30	40.23	200
4	9	33	30	40.23	100
4	9	33	30	40.23	100
4	9	33	31	40.21	100
4	9	33	32	40.21	100
4	9	33	33	40.21	100
4	9	33	33	40.21	100
4	9	33	33	40.21	100
4	9	33	33	40.21	200
4	9	33	33	40.21	200
4	9	33	33	40.21	100
4	9	33	33	40.21	100
4	9	33	33	40.21	100
4	9	33	33	40.21	100
4	9	33	33	40.21	300
4	9	33	33	40.21	100
4	9	33	34	40.21	100
4	9	33	34	40.21	100
4	9	33	35	40.21	100
4	9	33	36	40.23	100
4	9	33	36	40.23	100
4	9	33	36	40.2	100
4	9	33	36	40.23	700
4	9	33	38	40.19	100
4	9	33	38	40.18	200
4	9	33	38	40.165	100
4	9	33	38	40.165	100
4	9	33	38	40.1	100
4	9	33	39	40.06	200
4	9	33	42	40.06	100
4	9	33	58	40.08	100
4	9	33	58	40.08	100
4	9	33	59	40.07	100
4	9	34	3	40.07	100
4	9	34	3	40.07	100
4	9	34	9	40.06	100
4	9	34	11	40.07	200
4	9	34	12	40.06	500
4	9	34	12	40.05	100
4	9	34	12	40.06	300
4	9	34	13	40.05	100
4	9	34	13	40.05	100
4	9	34	13	40.05	100
4	9	34	13	40.05	100
4	9	34	14	40.05	200
4	9	34	15	40.05	100
4	9	34	16	40.03	100
4	9	34	16	40.01	100
4	9	34	20	40.1	100
4	9	34	23	40.1	100
4	9	34	25	40.04	100
4	9	34	25	40.12	100
4	9	34	25	40.13	100
4	9	34	25	40.13	100
4	9	34	27	40.03	100
4	9	34	27	40.04	100
4	9	34	28	40.03	100
4	9	34	29	40.05	100
4	9	34	29	40.04	100
4	9	34	31	40.07	100
4	9	34	31	40.1	1700
4	9	34	32	40.09	100
4	9	34	36	40.11	100
4	9	34	40	40.09	100
4	9	34	41	40.09	300
4	9	34	42	40.09	100
4	9	34	43	40.09	100
4	9	34	43	40.09	100
4	9	34	44	40.09	100
4	9	34	46	40.08	500
4	9	34	51	40.08	100
4	9	34	53	40.06	300
4	9	34	57	40.08	100
4	9	34	58	40.06	100
4	9	34	59	40.06	300
4	9	35	3	40.09	100
4	9	35	4	40.09	100
4	9	35	6	40.09	100
4	9	35	11	40.03	100
4	9	35	12	40.03	200
4	9	35	15	40.03	200
4	9	35	15	40.07	100
4	9	35	21	40.03	100
4	9	35	21	40.03	100
4	9	35	25	40.02	100
4	9	35	26	40.03	100
4	9	35	39	40.02	200
4	9	35	39	40.03	100
4	9	35	41	40.06	100
4	9	35	44	40.024	100
4	9	35	46	40.03	100
4	9	35	46	40.06	200
4	9	35	47	40.06	100
4	9	35	48	40.05	100
4	9	35	49	40.05	100
4	9	35	50	40.05	100
4	9	35	51	40.02	200
4	9	35	52	40.05	100
4	9	35	52	40.05	400
4	9	35	52	40.05	200
4	9	35	52	40.05	100
4	9	35	52	40.047	1000
4	9	36	1	40.08	100
4	9	36	5	40.07	200
4	9	36	19	40.0301	179
4	9	36	24	40.07	100
4	9	36	24	40.07	1100
4	9	36	27	40.08	100
4	9	36	27	40.08	600
4	9	36	27	40.05	300
4	9	36	28	40.05	200
4	9	36	36	40.08	900
4	9	36	37	40.08	100
4	9	36	37	40.08	100
4	9	36	37	40.06	200
4	9	36	38	40.08	100
4	9	36	38	40.09	300
4	9	36	39	40.07	100
4	9	36	39	40.09	100
4	9	36	39	40.09	100
4	9	36	39	40.09	200
4	9	36	39	40.09	400
4	9	36	39	40.09	200
4	9	36	39	40.09	100
4	9	36	39	40.09	100
4	9	36	40	40.1	100
4	9	36	40	40.1	300
4	9	36	40	40.11	100
4	9	36	40	40.1	200
4	9	36	40	40.1	311
4	9	36	40	40.1	189
4	9	36	45	40.15	100
4	9	36	48	40.14	4300
4	9	36	48	40.14	200
4	9	36	50	40.1	200
4	9	36	50	40.09	100
4	9	36	50	40.09	100
4	9	36	50	40.09	100
4	9	36	54	40.09	100
4	9	36	54	40.09	100
4	9	36	55	40.09	100
4	9	36	55	40.09	100
4	9	36	55	40.09	100
4	9	36	56	40.07	100
4	9	36	56	40.07	100
4	9	36	57	40.03	100
4	9	36	57	40.07	100
4	9	36	57	40.07	100
4	9	37	1	40.08	100
4	9	37	1	40.08	100
4	9	37	1	40.08	100
4	9	37	1	40.08	200
4	9	37	2	40.09	200
4	9	37	4	40.0819	100
4	9	37	8	40.12	100
4	9	37	8	40.12	100
4	9	37	8	40.12	100
4	9	37	10	40.15	200
4	9	37	11	40.15	400
4	9	37	13	40.11	100
4	9	37	14	40.11	100
4	9	37	16	40.1166	100
4	9	37	17	40.15	400
4	9	37	17	40.15	200
4	9	37	20	40.11	100
4	9	37	22	40.118	400
4	9	37	22	40.11	600
4	9	37	28	40.15	200
4	9	37	34	40.15	100
4	9	37	34	40.15	100
4	9	37	34	40.15	200
4	9	37	34	40.15	100
4	9	37	34	40.15	100
4	9	37	34	40.15	100
4	9	37	36	40.156	800
4	9	37	36	40.12	100
4	9	37	36	40.12	100
4	9	37	36	40.12	100
4	9	37	37	40.12	100
4	9	37	37	40.15	100
4	9	37	38	40.12	100
4	9	37	38	40.12	100
4	9	37	38	40.12	100
4	9	37	39	40.13	100
4	9	37	40	40.13	110
4	9	37	40	40.13	100
4	9	37	44	40.16	100
4	9	37	44	40.13	100
4	9	37	50	40.15	100
4	9	37	51	40.15	900
4	9	37	51	40.15	100
4	9	37	51	40.13	100
4	9	37	51	40.13	100
4	9	37	51	40.12	100
4	9	37	52	40.12	100
4	9	37	52	40.12	100
4	9	37	52	40.12	100
4	9	37	52	40.12	100
4	9	37	52	40.12	100
4	9	37	52	40.12	100
4	9	37	52	40.12	400
4	9	37	52	40.12	100
4	9	37	52	40.11	100
4	9	37	52	40.12	100
4	9	37	52	40.12	100
4	9	37	52	40.12	300
4	9	37	52	40.12	100
4	9	37	52	40.12	100
4	9	37	52	40.11	200
4	9	37	52	40.11	100
4	9	37	52	40.11	100
4	9	37	52	40.11	100
4	9	37	52	40.13	100
4	9	37	52	40.11	100
4	9	37	52	40.11	200
4	9	37	52	40.11	400
4	9	37	52	40.11	200
4	9	37	52	40.11	400
4	9	37	52	40.12	200
4	9	37	53	40.13	300
4	9	37	53	40.11	300
4	9	37	53	40.11	600
4	9	37	54	40.13	100
4	9	37	54	40.13	100
4	9	37	54	40.13	100
4	9	37	54	40.13	200
4	9	37	54	40.11	100
4	9	37	54	40.12	200
4	9	37	54	40.13	100
4	9	37	56	40.11	100
4	9	37	57	40.11	100
4	9	38	1	40.115	200
4	9	38	1	40.115	100
4	9	38	1	40.115	100
4	9	38	1	40.11	200
4	9	38	1	40.11	200
4	9	38	1	40.11	200
4	9	38	1	40.115	100
4	9	38	1	40.11	100
4	9	38	1	40.12	200
4	9	38	2	40.12	100
4	9	38	3	40.12	100
4	9	38	3	40.12	300
4	9	38	4	40.14	100
4	9	38	4	40.14	200
4	9	38	5	40.1125	400
4	9	38	5	40.125	600
4	9	38	5	40.1125	300
4	9	38	7	40.11	100
4	9	38	9	40.11	100
4	9	38	9	40.11	100
4	9	38	9	40.11	100
4	9	38	9	40.11	100
4	9	38	9	40.05	100
4	9	38	9	40.1	100
4	9	38	9	40.1	100
4	9	38	10	40.06	200
4	9	38	11	40.1	200
4	9	38	11	40.1	100
4	9	38	11	40.11	100
4	9	38	11	40.11	200
4	9	38	11	40.06	100
4	9	38	11	40.06	100
4	9	38	15	40.1	168
4	9	38	15	40.11	100
4	9	38	15	40.11	100
4	9	38	15	40.11	400
4	9	38	16	40.125	700
4	9	38	16	40.125	400
4	9	38	17	40.1	200
4	9	38	18	40.1	100
4	9	38	18	40.13	200
4	9	38	19	40.12	100
